subject,classname,img,filepath,file_exists,label
p014,c0,img_72495.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_72495.jpg,True,0
p014,c0,img_62101.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_62101.jpg,True,0
p014,c0,img_34774.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_34774.jpg,True,0
p014,c0,img_100312.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_100312.jpg,True,0
p014,c0,img_12279.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_12279.jpg,True,0
p014,c0,img_22206.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_22206.jpg,True,0
p014,c0,img_12375.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_12375.jpg,True,0
p014,c0,img_60454.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_60454.jpg,True,0
p014,c0,img_70870.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_70870.jpg,True,0
p014,c0,img_38951.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_38951.jpg,True,0
p014,c0,img_99971.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_99971.jpg,True,0
p014,c0,img_68412.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_68412.jpg,True,0
p014,c0,img_26740.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_26740.jpg,True,0
p014,c0,img_87016.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_87016.jpg,True,0
p014,c0,img_1928.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_1928.jpg,True,0
p014,c0,img_98402.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_98402.jpg,True,0
p014,c0,img_15780.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_15780.jpg,True,0
p014,c0,img_69573.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_69573.jpg,True,0
p014,c0,img_69607.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_69607.jpg,True,0
p014,c0,img_20018.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_20018.jpg,True,0
p014,c0,img_9967.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_9967.jpg,True,0
p014,c0,img_27832.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_27832.jpg,True,0
p014,c0,img_13916.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_13916.jpg,True,0
p014,c0,img_39938.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_39938.jpg,True,0
p014,c0,img_69977.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_69977.jpg,True,0
p014,c0,img_93422.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_93422.jpg,True,0
p014,c0,img_96198.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_96198.jpg,True,0
p014,c0,img_95169.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_95169.jpg,True,0
p014,c0,img_34530.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_34530.jpg,True,0
p014,c0,img_2764.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_2764.jpg,True,0
p014,c0,img_80838.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_80838.jpg,True,0
p014,c0,img_54004.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_54004.jpg,True,0
p014,c0,img_8156.jpg,D:\MSC_PROJECT\state-farm-distracted-driver-detection\imgs\train\c0\img_8156.jpg,True,0
