,c0 - safe driving,c1 - texting right,c2 - talking on the phone right,c3 - texting left,c4 - talking on the phone left,c5 - operating the radio,c6 - drinking,c7 - reaching behind,c8 - hair and makeup,c9 - talking to passenger
c0 - safe driving,212,10,0,27,0,10,0,0,7,50
c1 - texting right,49,201,0,1,0,1,3,0,68,2
c2 - talking on the phone right,0,0,297,0,0,0,1,5,13,22
c3 - texting left,2,0,0,313,0,0,0,1,2,4
c4 - talking on the phone left,0,0,2,21,313,1,0,1,4,3
c5 - operating the radio,3,0,1,0,0,269,1,0,0,53
c6 - drinking,0,0,0,0,0,0,251,0,18,42
c7 - reaching behind,0,2,2,11,0,4,0,162,62,50
c8 - hair and makeup,11,0,0,0,5,33,1,2,191,8
c9 - talking to passenger,91,0,0,0,0,42,0,0,1,124
