,precision,recall,f1-score,support
c0 - safe driving,0.5760869565217391,0.6708860759493671,0.6198830409356725,316.0
c1 - texting right,0.9436619718309859,0.6184615384615385,0.7472118959107806,325.0
c2 - talking on the phone right,0.9834437086092715,0.878698224852071,0.928125,338.0
c3 - texting left,0.839142091152815,0.9720496894409938,0.9007194244604316,322.0
c4 - talking on the phone left,0.9842767295597484,0.9072463768115943,0.9441930618401206,345.0
c5 - operating the radio,0.7472222222222222,0.8226299694189603,0.7831149927219796,327.0
c6 - drinking,0.9766536964980544,0.8070739549839229,0.8838028169014085,311.0
c7 - reaching behind,0.9473684210526315,0.552901023890785,0.6982758620689655,293.0
c8 - hair and makeup,0.5218579234972678,0.7609561752988048,0.6191247974068071,251.0
c9 - talking to passenger,0.3463687150837989,0.4806201550387597,0.4025974025974026,258.0
accuracy,0.7559948152948801,0.7559948152948801,0.7559948152948801,0.7559948152948801
macro avg,0.7866082436028534,0.7471523184146798,0.752704829484357,3086.0
weighted avg,0.8026332464681174,0.7559948152948801,0.7657219631884795,3086.0
