,precision,recall,f1-score,support
c0 - safe driving,0.7072463768115942,0.7721518987341772,0.7382753403933434,316.0
c1 - texting right,0.9708029197080292,0.8184615384615385,0.8881469115191987,325.0
c2 - talking on the phone right,0.972972972972973,0.9585798816568047,0.9657228017883756,338.0
c3 - texting left,0.9469026548672567,0.9968944099378882,0.9712556732223904,322.0
c4 - talking on the phone left,0.8902077151335311,0.8695652173913043,0.8797653958944281,345.0
c5 - operating the radio,0.989010989010989,0.8256880733944955,0.9,327.0
c6 - drinking,0.8931297709923665,0.752411575562701,0.8167539267015707,311.0
c7 - reaching behind,0.8214285714285714,0.9419795221843004,0.8775834658187599,293.0
c8 - hair and makeup,0.5026881720430108,0.7450199203187251,0.6003210272873194,251.0
c9 - talking to passenger,0.5720930232558139,0.47674418604651164,0.5200845665961945,258.0
accuracy,0.8246921581335062,0.8246921581335062,0.8246921581335062,0.8246921581335062
macro avg,0.8266483166224138,0.8157496223688447,0.8157909109221579,3086.0
weighted avg,0.8410606740853369,0.8246921581335062,0.8279083836337378,3086.0
