,precision,recall,f1-score,support
c0 - safe driving,0.6638888888888889,0.7563291139240507,0.7071005917159763,316.0
c1 - texting right,0.9601769911504425,0.6676923076923077,0.7876588021778584,325.0
c2 - talking on the phone right,0.9847560975609756,0.9556213017751479,0.96996996996997,338.0
c3 - texting left,0.9721362229102167,0.9751552795031055,0.9736434108527132,322.0
c4 - talking on the phone left,0.9260355029585798,0.9072463768115943,0.9165446559297218,345.0
c5 - operating the radio,1.0,0.9235474006116208,0.9602543720190779,327.0
c6 - drinking,0.8192090395480226,0.932475884244373,0.8721804511278195,311.0
c7 - reaching behind,0.9705882352941176,0.9010238907849829,0.9345132743362832,293.0
c8 - hair and makeup,0.63125,0.8047808764940239,0.7075306479859895,251.0
c9 - talking to passenger,0.5665399239543726,0.5775193798449613,0.5719769673704415,258.0
accuracy,0.8467271548930655,0.8467271548930655,0.8467271548930655,0.8467271548930655
macro avg,0.8494580902265616,0.8401391811686167,0.8401373143485852,3086.0
weighted avg,0.8612999024326091,0.8467271548930655,0.8493933155177605,3086.0
