,precision,recall,f1-score,support
safe_driving,0.9437949157996353,0.9770153231179214,0.9601178460363359,9006.0
texting_right,0.9243542435424354,0.7654698242933538,0.8374425407438362,1309.0
phone_right,0.8395140664961637,0.9857357357357357,0.9067679558011049,1332.0
texting_left,0.974169741697417,0.8211508553654744,0.8911392405063291,1286.0
phone_left,0.9060856498873028,0.8993288590604027,0.9026946107784432,1341.0
adjusting_radio,0.9742765273311897,0.926605504587156,0.9498432601880877,327.0
drinking,0.8400633412509897,0.8334642576590731,0.8367507886435331,1273.0
reaching_behind,0.9534883720930233,0.8838323353293414,0.9173399627097576,835.0
hair_or_makeup,0.8667953667953668,0.8760975609756098,0.871421639980592,1025.0
talking_to_passenger,0.6036036036036037,0.5193798449612403,0.5583333333333333,258.0
accuracy,0.9176300578034682,0.9176300578034682,0.9176300578034682,0.9176300578034682
macro avg,0.882614582849713,0.8488080101085309,0.8631851178721354,17992.0
weighted avg,0.918420377202405,0.9176300578034682,0.9163175639493386,17992.0
