,precision,recall,f1-score,support
safe_driving,0.8870246085011185,0.880524095047746,0.8837623983060292,9006.0
texting_right,0.6865203761755486,0.5019098548510313,0.5798764342453663,1309.0
phone_right,0.7221283783783784,0.6418918918918919,0.6796502384737679,1332.0
texting_left,0.4218616567036721,0.7682737169517885,0.5446527012127894,1286.0
phone_left,0.5910885504794134,0.7815063385533184,0.6730892742453436,1341.0
adjusting_radio,0.9277566539923955,0.746177370030581,0.8271186440677966,327.0
drinking,0.7543689320388349,0.6103692065985861,0.6747720364741642,1273.0
reaching_behind,0.8841463414634146,0.6946107784431138,0.778001341381623,835.0
hair_or_makeup,0.6962025316455697,0.5365853658536586,0.6060606060606061,1025.0
talking_to_passenger,0.6140350877192983,0.13565891472868216,0.2222222222222222,258.0
accuracy,0.7594486438417074,0.7594486438417074,0.7594486438417074,0.7594486438417074
macro avg,0.7185133117097644,0.6297507532950399,0.6469205896689709,17992.0
weighted avg,0.7813593014850975,0.7594486438417074,0.7605703531226037,17992.0
