,precision,recall,f1-score,support
safe_driving,0.0,0.0,0.0,150.0
texting_right,0.0,0.0,0.0,150.0
phone_right,0.0,0.0,0.0,150.0
texting_left,0.1695108077360637,0.9933333333333333,0.28960155490767736,150.0
phone_left,0.0,0.0,0.0,150.0
adjusting_radio,0.0,0.0,0.0,150.0
drinking,0.0,0.0,0.0,150.0
reaching_behind,0.23300970873786409,0.96,0.375,150.0
hair_or_makeup,0.0,0.0,0.0,150.0
talking_to_passenger,0.0,0.0,0.0,150.0
accuracy,0.19533333333333333,0.19533333333333333,0.19533333333333333,0.19533333333333333
macro avg,0.040252051647392775,0.1953333333333333,0.06646015549076774,1500.0
weighted avg,0.040252051647392775,0.19533333333333333,0.06646015549076774,1500.0
