,precision,recall,f1-score,support
safe_driving,0.551048951048951,0.8454935622317596,0.6672311600338696,466.0
texting_right,0.9864253393665159,0.4589473684210526,0.6264367816091954,475.0
phone_right,0.8997912317327766,0.8831967213114754,0.8914167528438469,488.0
texting_left,0.9652996845425867,0.6483050847457628,0.7756653992395437,472.0
phone_left,0.9255014326647565,0.6525252525252525,0.7654028436018957,495.0
adjusting_radio,0.9978213507625272,0.960167714884696,0.9786324786324786,477.0
drinking,0.6376360808709176,0.8893709327548807,0.7427536231884058,461.0
reaching_behind,0.879837067209776,0.9751693002257337,0.9250535331905781,443.0
hair_or_makeup,0.5964125560538116,0.6633416458852868,0.628099173553719,401.0
talking_to_passenger,0.7188841201716738,0.821078431372549,0.7665903890160183,408.0
accuracy,0.7791103358046227,0.7791103358046227,0.7791103358046227,0.7791103358046227
macro avg,0.8158657814424293,0.7797596014358449,0.7767282134909551,4586.0
weighted avg,0.8221388188232507,0.7791103358046227,0.7789227035251858,4586.0
