,precision,recall,f1-score,support
safe_driving,0.5589225589225589,0.7124463519313304,0.6264150943396226,466.0
texting_right,0.7205387205387206,0.45052631578947366,0.5544041450777202,475.0
phone_right,0.6886792452830188,0.5983606557377049,0.6403508771929824,488.0
texting_left,0.7200902934537246,0.6758474576271186,0.6972677595628415,472.0
phone_left,0.7801204819277109,0.5232323232323233,0.626360338573156,495.0
adjusting_radio,0.7315315315315315,0.8511530398322851,0.7868217054263565,477.0
drinking,0.39241917502787066,0.7635574837310195,0.5184094256259205,461.0
reaching_behind,0.7835051546391752,0.8577878103837472,0.8189655172413793,443.0
hair_or_makeup,0.42346938775510207,0.4139650872817955,0.41866330390920553,401.0
talking_to_passenger,0.8203592814371258,0.33578431372549017,0.4765217391304348,408.0
accuracy,0.6229829917139119,0.6229829917139119,0.6229829917139119,0.6229829917139119
macro avg,0.6619635830516539,0.6182660839272288,0.616417990607962,4586.0
weighted avg,0.6642581571142563,0.6229829917139119,0.6206516917410361,4586.0
